trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
428,False,"{'a': 0.6, 'e': 0.013842662086479501}",20,12,15.678476049371454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.6, 'e': 0.013704925297364945}",20,10,15.772441617370221,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.6, 'e': 0.013568559012200934}",25,15,18.444772381505388,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.6, 'e': 0.013433549594245302}",20,0,12.025512008211145,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
432,False,"{'a': 0.6, 'e': 0.013299883542443767}",20,5,18.727324005878497,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.6, 'e': 0.013167547490079751}",20,8,22.433040028696922,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.6, 'e': 0.013036528203437736}",20,6,18.62108208352875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.6, 'e': 0.012906812580479862}",25,5,28.25141912888229,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.6, 'e': 0.01277838764953576}",25,11,27.45490043192459,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.6, 'e': 0.012651240568005305}",20,12,14.461936739902907,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.6, 'e': 0.012525358621074385}",25,11,27.124506631667668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.6, 'e': 0.012400729220443406}",20,14,10.073386767601795,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.6, 'e': 0.012277339903068436}",20,6,-14.586849392597589,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
